cause,coefficient,hdi_lo,hdi_hi
Road Traffic,0.43162887541982903,0.37986984315388533,0.4832710363342713
Homicide,0.4206838171722999,0.37237467955176723,0.4701981587657512
Suicide,0.3634207663985847,0.28454119049989735,0.4443885275599643
Cancer,0.31978131822326983,0.21841372395699804,0.41987382367778336
Lung Disease,0.2991632901898756,0.22819415286403036,0.3730325841992967
Liver Disease,0.2539438281429071,0.19323797798675216,0.31487433516429086
Cardiovascular,-0.18498190646484078,-0.23757659503362857,-0.13247171673034588
Injury,0.15174179897372134,0.07692577643790673,0.22657186649195274
Alcohol,0.1300326124275369,0.06423653337150796,0.1960038280759983
COVID-19,0.11331261661209906,0.09384170558000429,0.13242780112876668
Drug Disorders,0.0913936820779632,0.05479747958073746,0.12878025351301856
Diabetes,-0.09067073950085659,-0.13746275272634922,-0.04234367398903876
Childhood (under-five),0.06122822304109767,0.0017762463215945587,0.11971947948844876
