cause,change_mean,hdi_lo,hdi_hi
Diabetes,0.27996059517997585,0.1941398710132658,0.3632775855889627
Cardiovascular,0.2269567381571962,0.19307604298026249,0.26097630517928305
Lung Disease,0.21617382494636986,0.17778280780644096,0.252306483289765
Childhood (under-five),-0.006823381019378293,-0.07204661956970271,0.05835228800403858
COVID-19,-0.007267314138610267,-0.00933449923565588,-0.005370950612380909
Injury,-0.0753574346219984,-0.09928608434996322,-0.051936610082346846
Cancer,-0.14623856818010703,-0.19786155631139946,-0.08968869438623872
Alcohol,-0.1499143414157404,-0.21796135707413744,-0.08791548739982558
Liver Disease,-0.16375599843160638,-0.20608390682599875,-0.11738405595066093
Homicide,-0.20172045122267743,-0.22907244861063303,-0.17470024087372504
Drug Disorders,-0.46714544253709955,-0.7255000608525672,-0.2030384240132599
Suicide,-0.5214293311612538,-0.6148468934403493,-0.4263550418038331
Road Traffic,-0.8643519147132457,-0.9479702981806526,-0.7871769032763778
