cause,change_mean,hdi_lo,hdi_hi
Diabetes,0.19839900879325253,0.0903464260790603,0.29737561188130535
Lung Disease,0.17627020962334075,0.13266830988283917,0.21784946228254576
Cardiovascular,0.15366178119262458,0.10723177673941375,0.19406596502472606
COVID-19,-0.0136345033241726,-0.015819499191183084,-0.011183728865250764
Injury,-0.0588682494328752,-0.08739009578977353,-0.02956337655453467
Childhood (under-five),-0.07896367369919156,-0.14992178302064652,0.0005651727004938323
Alcohol,-0.14943640810814315,-0.22395105094153323,-0.07262855180219052
Cancer,-0.19659864674673588,-0.259078723164091,-0.13536798083014379
Liver Disease,-0.2175650022200141,-0.2686447399876908,-0.16488682519802378
Homicide,-0.2764244741882585,-0.3082357726564062,-0.24417926236800014
Suicide,-0.5200798790220631,-0.6280486448863929,-0.4011825962495221
Drug Disorders,-0.7724275536695115,-1.0980335088215334,-0.47696581750965183
Road Traffic,-0.8058728364989293,-0.9040152137763728,-0.7117034483323179
