Cause,Current gap,Target gap,Target Country-Year,Change in HALE gap (years)
Road Traffic,12.953004313077704,1.9162963904805146,Iceland (2017),-0.8643519147132457
Suicide,17.71835036204813,4.046744715000571,Greece (2002),-0.5214293311612538
Drug Disorders,23.552215688805436,0.0028010644522588057,Japan (2013),-0.46714544253709955
Homicide,8.849794640030009,0.0,,-0.20172045122267743
Liver Disease,9.058527197503192,0.7288464988543271,Iceland (2001),-0.16375599843160638
Alcohol,7.372934158901048,0.23221628674644568,Colombia (2016),-0.1499143414157404
Cancer,23.464654285762236,0.0,,-0.14623856818010703
Injury,5.902080786156905,0.0,,-0.0753574346219984
COVID-19,1.2757534126482764,0.0,,-0.007267314138610267
Childhood (under-five),23.16391176946844,0.5937031014482343,Ireland (2021),-0.006823381019378293
Lung Disease,-6.3214605017670635,0.0,,0.21617382494636986
Cardiovascular,30.66149462043893,0.0,,0.2269567381571962
Diabetes,7.729474111476534,0.0,,0.27996059517997585
