Cause,Current gap,Target gap,Target Country-Year,Change in LE gap (years)
Road Traffic,12.953004313077704,1.9162963904805146,Iceland (2017),-0.8058728364989293
Drug Disorders,23.552215688805436,0.0028010644522588057,Japan (2013),-0.7724275536695115
Suicide,17.71835036204813,4.046744715000571,Greece (2002),-0.5200798790220631
Homicide,8.849794640030009,0.0,,-0.2764244741882585
Liver Disease,9.058527197503192,0.7288464988543271,Iceland (2001),-0.2175650022200141
Cancer,23.464654285762236,0.0,,-0.19659864674673588
Alcohol,7.372934158901048,0.23221628674644568,Colombia (2016),-0.14943640810814315
Childhood (under-five),23.16391176946844,0.5937031014482343,Ireland (2021),-0.07896367369919156
Injury,5.902080786156905,0.0,,-0.0588682494328752
COVID-19,1.2757534126482764,0.0,,-0.0136345033241726
Cardiovascular,30.66149462043893,0.0,,0.15366178119262458
Lung Disease,-6.3214605017670635,0.0,,0.17627020962334075
Diabetes,7.729474111476534,0.0,,0.19839900879325253
