year,code,country,gap,highlighted,series
2000,AUS,Australia,4.903884949965963,False,Australia
2001,AUS,Australia,3.7171600896517143,False,Australia
2002,AUS,Australia,3.111505225125797,False,Australia
2003,AUS,Australia,2.8893751314775433,False,Australia
2004,AUS,Australia,2.807343981368638,False,Australia
2005,AUS,Australia,2.6569195057706883,False,Australia
2006,AUS,Australia,2.546400415044296,False,Australia
2007,AUS,Australia,2.5422129737708308,False,Australia
2008,AUS,Australia,2.7519258548846386,False,Australia
2009,AUS,Australia,2.95538657886642,False,Australia
2010,AUS,Australia,3.0523231022293933,False,Australia
2011,AUS,Australia,3.052909470883864,False,Australia
2012,AUS,Australia,2.936933340866481,False,Australia
2013,AUS,Australia,3.1482016100301182,False,Australia
2014,AUS,Australia,3.4267847407349112,False,Australia
2015,AUS,Australia,3.670878978525569,False,Australia
2016,AUS,Australia,3.863835444502298,False,Australia
2017,AUS,Australia,3.9009329391420495,False,Australia
2018,AUS,Australia,3.9538510798044317,False,Australia
2019,AUS,Australia,3.8733697799137583,False,Australia
2020,AUS,Australia,3.6494451812211426,False,Australia
2021,AUS,Australia,3.4086702477854445,False,Australia
2022,AUS,Australia,3.5963147897123866,False,Australia
2023,AUS,Australia,3.5612938721607357,False,Australia
2000,AUT,Austria,2.4149267372120065,False,Austria
2001,AUT,Austria,2.391540482737432,False,Austria
2002,AUT,Austria,2.377695406330955,False,Austria
2003,AUT,Austria,2.5043995549135682,False,Austria
2004,AUT,Austria,2.566052186682765,False,Austria
2005,AUT,Austria,2.65751873148931,False,Austria
2006,AUT,Austria,2.697847140565744,False,Austria
2007,AUT,Austria,2.719345099962514,False,Austria
2008,AUT,Austria,2.841975048633905,False,Austria
2009,AUT,Austria,2.8126913773323787,False,Austria
2010,AUT,Austria,2.702243577256576,False,Austria
2011,AUT,Austria,2.612494159384865,False,Austria
2012,AUT,Austria,2.420535896617112,False,Austria
2013,AUT,Austria,2.270661910458574,False,Austria
2014,AUT,Austria,2.0366680315116845,False,Austria
2015,AUT,Austria,1.8419214941904136,False,Austria
2016,AUT,Austria,1.754845063741796,False,Austria
2017,AUT,Austria,1.6884269383399975,False,Austria
2018,AUT,Austria,1.733082213503088,False,Austria
2019,AUT,Austria,1.7730773619305604,False,Austria
2020,AUT,Austria,1.8581054146119134,False,Austria
2021,AUT,Austria,2.122163072831767,False,Austria
2022,AUT,Austria,2.251360844399798,False,Austria
2023,AUT,Austria,2.1392914614343934,False,Austria
2000,BEL,Belgium,1.252388185650685,False,Belgium
2001,BEL,Belgium,1.2351136875309505,False,Belgium
2002,BEL,Belgium,1.1813358771177214,False,Belgium
2003,BEL,Belgium,1.126621055971958,False,Belgium
2004,BEL,Belgium,1.109330186480581,False,Belgium
2005,BEL,Belgium,1.1544714175739632,False,Belgium
2006,BEL,Belgium,1.1548391226336194,False,Belgium
2007,BEL,Belgium,1.2220926071178935,False,Belgium
2008,BEL,Belgium,1.2374519493557785,False,Belgium
2009,BEL,Belgium,1.136121368729168,False,Belgium
2010,BEL,Belgium,1.010657850387465,False,Belgium
2011,BEL,Belgium,0.901628311209234,False,Belgium
