year,code,country,gap,highlighted,series
2000,AUS,Australia,2.713860054400456,False,Australia
2001,AUS,Australia,2.5392267804879367,False,Australia
2002,AUS,Australia,2.3914493765216065,False,Australia
2003,AUS,Australia,2.2962162342508208,False,Australia
2004,AUS,Australia,2.2176131359776434,False,Australia
2005,AUS,Australia,2.088109679957583,False,Australia
2006,AUS,Australia,2.0023988906173855,False,Australia
2007,AUS,Australia,1.9678119742676898,False,Australia
2008,AUS,Australia,1.8997005306749912,False,Australia
2009,AUS,Australia,1.8413031112915945,False,Australia
2010,AUS,Australia,1.76370964577697,False,Australia
2011,AUS,Australia,1.6494916441718743,False,Australia
2012,AUS,Australia,1.4851664754345393,False,Australia
2013,AUS,Australia,1.434872236027914,False,Australia
2014,AUS,Australia,1.3758045189022,False,Australia
2015,AUS,Australia,1.3621552212691626,False,Australia
2016,AUS,Australia,1.3425829362798822,False,Australia
2017,AUS,Australia,1.264563135066524,False,Australia
2018,AUS,Australia,1.2207422217203572,False,Australia
2019,AUS,Australia,1.240602482123336,False,Australia
2020,AUS,Australia,1.118531642949904,False,Australia
2021,AUS,Australia,1.0026506828912005,False,Australia
2022,AUS,Australia,1.0446876868152941,False,Australia
2023,AUS,Australia,0.9265159848244906,False,Australia
2000,AUT,Austria,3.7001569262202594,False,Austria
2001,AUT,Austria,3.628977455331068,False,Austria
2002,AUT,Austria,3.5602129910608795,False,Austria
2003,AUT,Austria,3.4805580072124087,False,Austria
2004,AUT,Austria,3.4449101570799314,False,Austria
2005,AUT,Austria,3.3509699335588152,False,Austria
2006,AUT,Austria,3.267049245625074,False,Austria
2007,AUT,Austria,3.2105529662051,False,Austria
2008,AUT,Austria,3.148068031678136,False,Austria
2009,AUT,Austria,3.2009497161391494,False,Austria
2010,AUT,Austria,3.143154377206244,False,Austria
2011,AUT,Austria,3.0220233655508224,False,Austria
2012,AUT,Austria,2.7882598892507815,False,Austria
2013,AUT,Austria,2.692159177602079,False,Austria
2014,AUT,Austria,2.5714203674646257,False,Austria
2015,AUT,Austria,2.499305426021863,False,Austria
2016,AUT,Austria,2.387664618493119,False,Austria
2017,AUT,Austria,2.2631147419300675,False,Austria
2018,AUT,Austria,2.247285929761574,False,Austria
2019,AUT,Austria,2.2027833285457916,False,Austria
2020,AUT,Austria,2.1978821673554876,False,Austria
2021,AUT,Austria,2.264008265923266,False,Austria
2022,AUT,Austria,2.171046643287056,False,Austria
2023,AUT,Austria,2.082786682663908,False,Austria
2000,BEL,Belgium,3.1634999397267762,False,Belgium
2001,BEL,Belgium,3.0660040123376575,False,Belgium
