year,code,country,sex,value,highlighted
2000,AUS,Australia,Male,66.43714460837548,False
2000,AUS,Australia,Female,69.15100466277593,False
2001,AUS,Australia,Male,66.68825329855746,False
2001,AUS,Australia,Female,69.22748007904539,False
2002,AUS,Australia,Male,66.88790640034111,False
2002,AUS,Australia,Female,69.27935577686272,False
2003,AUS,Australia,Male,67.12569623303561,False
2003,AUS,Australia,Female,69.42191246728643,False
2004,AUS,Australia,Male,67.36127675852595,False
2004,AUS,Australia,Female,69.57888989450359,False
2005,AUS,Australia,Male,67.6535355739504,False
2005,AUS,Australia,Female,69.74164525390799,False
2006,AUS,Australia,Male,67.80985631827538,False
2006,AUS,Australia,Female,69.81225520889276,False
2007,AUS,Australia,Male,67.81565338102479,False
2007,AUS,Australia,Female,69.78346535529248,False
2008,AUS,Australia,Male,67.82530506465477,False
2008,AUS,Australia,Female,69.72500559532976,False
2009,AUS,Australia,Male,68.00700797250802,False
2009,AUS,Australia,Female,69.84831108379962,False
2010,AUS,Australia,Male,68.16988237434308,False
2010,AUS,Australia,Female,69.93359202012005,False
2011,AUS,Australia,Male,68.31099531361198,False
2011,AUS,Australia,Female,69.96048695778386,False
2012,AUS,Australia,Male,68.58667813016353,False
2012,AUS,Australia,Female,70.07184460559807,False
2013,AUS,Australia,Male,68.76625524192333,False
2013,AUS,Australia,Female,70.20112747795125,False
2014,AUS,Australia,Male,68.7760296445992,False
2014,AUS,Australia,Female,70.1518341635014,False
2015,AUS,Australia,Male,68.83017935512929,False
2015,AUS,Australia,Female,70.19233457639845,False
2016,AUS,Australia,Male,68.98101555506283,False
2016,AUS,Australia,Female,70.32359849134271,False
2017,AUS,Australia,Male,69.126906784335,False
2017,AUS,Australia,Female,70.39146991940153,False
2018,AUS,Australia,Male,69.27165372566432,False
2018,AUS,Australia,Female,70.49239594738468,False
2019,AUS,Australia,Male,69.24006727272787,False
2019,AUS,Australia,Female,70.4806697548512,False
2020,AUS,Australia,Male,69.50197562163761,False
2020,AUS,Australia,Female,70.62050726458752,False
