year,code,country,gap,highlighted,series
2000,AUS,Australia,1.0264093952403945,False,Australia
2001,AUS,Australia,1.0580536962241112,False,Australia
2002,AUS,Australia,1.0144578909439539,False,Australia
2003,AUS,Australia,0.9904650178829073,False,Australia
2004,AUS,Australia,0.7369405621486425,False,Australia
2005,AUS,Australia,0.7692247588429032,False,Australia
2006,AUS,Australia,0.9840628567971944,False,Australia
2007,AUS,Australia,1.0107052938858736,False,Australia
2008,AUS,Australia,1.0847533201426434,False,Australia
2009,AUS,Australia,1.2922938945128992,False,Australia
2010,AUS,Australia,1.0668318653136306,False,Australia
2011,AUS,Australia,0.9324887657179131,False,Australia
2012,AUS,Australia,1.0023151128304053,False,Australia
2013,AUS,Australia,0.9063342743581406,False,Australia
2014,AUS,Australia,0.84123812597445,False,Australia
2015,AUS,Australia,0.8899815465435642,False,Australia
2016,AUS,Australia,0.8164764429336697,False,Australia
2017,AUS,Australia,0.7921216123016889,False,Australia
2018,AUS,Australia,0.855220235472962,False,Australia
2019,AUS,Australia,0.9663242394885421,False,Australia
2020,AUS,Australia,0.9160328632800946,False,Australia
2021,AUS,Australia,0.8481854097842061,False,Australia
2022,AUS,Australia,0.8401342155608946,False,Australia
2023,AUS,Australia,0.787547924865649,False,Australia
2000,AUT,Austria,-0.005218489507764712,False,Austria
2001,AUT,Austria,-0.006958062941653909,False,Austria
2002,AUT,Austria,0.02470637998114289,False,Austria
2003,AUT,Austria,0.03771939234439403,False,Austria
2004,AUT,Austria,0.07055643153128055,False,Austria
2005,AUT,Austria,0.1221435836433653,False,Austria
2006,AUT,Austria,0.11602921851437975,False,Austria
2007,AUT,Austria,0.09917018734068861,False,Austria
2008,AUT,Austria,0.10710033175550837,False,Austria
2009,AUT,Austria,0.08304485271671247,False,Austria
2010,AUT,Austria,0.06534806265313453,False,Austria
2011,AUT,Austria,0.14630856398961756,False,Austria
2012,AUT,Austria,0.10035441341696705,False,Austria
2013,AUT,Austria,0.06570635601541586,False,Austria
2014,AUT,Austria,0.09842679332360338,False,Austria
2015,AUT,Austria,0.047116294445642026,False,Austria
2016,AUT,Austria,0.062160599657239746,False,Austria
2017,AUT,Austria,0.07747017146090596,False,Austria
2018,AUT,Austria,0.10373486801679832,False,Austria
2019,AUT,Austria,0.11434051936920753,False,Austria
2020,AUT,Austria,0.12242991132853931,False,Austria
2021,AUT,Austria,0.08081849829999121,False,Austria
2022,AUT,Austria,0.07514992030853673,False,Austria
2023,AUT,Austria,0.05136176163709172,False,Austria
2000,BEL,Belgium,0.9651086322655833,False,Belgium
2001,BEL,Belgium,0.9411432986659525,False,Belgium
2002,BEL,Belgium,0.8683798804417087,False,Belgium
2003,BEL,Belgium,0.7284097339957232,False,Belgium
2004,BEL,Belgium,0.6750992366854371,False,Belgium
2005,BEL,Belgium,0.7385174265019137,False,Belgium
2006,BEL,Belgium,0.6778763049680887,False,Belgium
2007,BEL,Belgium,0.6871454327318296,False,Belgium
2008,BEL,Belgium,0.6661125982487062,False,Belgium
2009,BEL,Belgium,0.6084401522420082,False,Belgium
2010,BEL,Belgium,0.5589460127434571,False,Belgium
2011,BEL,Belgium,0.6452456298190947,False,Belgium
2012,BEL,Belgium,0.6121300660663154,False,Belgium
2013,BEL,Belgium,0.45093505631188036,False,Belgium
2014,BEL,Belgium,0.5654797305347921,False,Belgium
2015,BEL,Belgium,0.46577698460389794,False,Belgium
2016,BEL,Belgium,0.5231997207517393,False,Belgium
2017,BEL,Belgium,0.5298445142860685,False,Belgium
2018,BEL,Belgium,0.5794300500383739,False,Belgium
2019,BEL,Belgium,0.5649670764854696,False,Belgium
2020,BEL,Belgium,0.5675431690240124,False,Belgium
2021,BEL,Belgium,0.5737780685338394,False,Belgium
2022,BEL,Belgium,0.550824019332185,False,Belgium
2023,BEL,Belgium,0.5127813926080508,False,Belgium
2000,CAN,Canada,1.4473350798408464,False,Canada
2001,CAN,Canada,1.548139967042483,False,Canada
2002,CAN,Canada,1.4568419277712144,False,Canada
2003,CAN,Canada,1.4946504206829059,False,Canada
2004,CAN,Canada,1.6246355351328639,False,Canada
2005,CAN,Canada,1.8361187520774185,False,Canada
2006,CAN,Canada,1.8118238544474692,False,Canada
2007,CAN,Canada,1.7901940411869486,False,Canada
2008,CAN,Canada,1.893082995230153,False,Canada
2009,CAN,Canada,1.7516846099394754,False,Canada
2010,CAN,Canada,1.63222551866019,False,Canada
2011,CAN,Canada,1.4274914129007912,False,Canada
2012,CAN,Canada,1.4126423318936736,False,Canada
2013,CAN,Canada,1.2657327779567606,False,Canada
2014,CAN,Canada,1.2676160520424835,False,Canada
2015,CAN,Canada,1.3090416532436082,False,Canada
2016,CAN,Canada,1.394587361522031,False,Canada
2017,CAN,Canada,1.3520599599089222,False,Canada
2018,CAN,Canada,1.3348869316119405,False,Canada
2019,CAN,Canada,1.4308383821540793,False,Canada
2020,CAN,Canada,1.8410233446914477,False,Canada
2021,CAN,Canada,1.716687270195615,False,Canada
2022,CAN,Canada,1.4042377814673692,False,Canada
2023,CAN,Canada,1.354617515808613,False,Canada
2000,CHE,Switzerland,0.1023633956717791,False,Switzerland
2001,CHE,Switzerland,0.14084742285588026,False,Switzerland
2002,CHE,Switzerland,0.07097693311953113,False,Switzerland
2003,CHE,Switzerland,0.08677921127787813,False,Switzerland
2004,CHE,Switzerland,0.07932519074930389,False,Switzerland
2005,CHE,Switzerland,0.07767748702319188,False,Switzerland
2006,CHE,Switzerland,0.043449973869933545,False,Switzerland
2007,CHE,Switzerland,0.07131241058107618,False,Switzerland
2008,CHE,Switzerland,0.07856357521917945,False,Switzerland
2009,CHE,Switzerland,0.06312977633400496,False,Switzerland
2010,CHE,Switzerland,0.037306652932586726,False,Switzerland
2011,CHE,Switzerland,0.059903134810178726,False,Switzerland
2012,CHE,Switzerland,0.051202066103916644,False,Switzerland
2013,CHE,Switzerland,-0.011072186369908255,False,Switzerland
2014,CHE,Switzerland,-0.001597530026268168,False,Switzerland
2015,CHE,Switzerland,0.025234299622815315,False,Switzerland
2016,CHE,Switzerland,0.013747943840452193,False,Switzerland
2017,CHE,Switzerland,0.0431287655808813,False,Switzerland
2018,CHE,Switzerland,0.06514165817057227,False,Switzerland
2019,CHE,Switzerland,0.052721691875061705,False,Switzerland
2020,CHE,Switzerland,0.06488591167422175,False,Switzerland
2021,CHE,Switzerland,0.0355414598971836,False,Switzerland
2022,CHE,Switzerland,0.03039128947033065,False,Switzerland
2023,CHE,Switzerland,0.018093131727472067,False,Switzerland
2000,CHL,Chile,8.583567135923534,False,Chile
2001,CHL,Chile,9.024937612279563,False,Chile
2002,CHL,Chile,8.901258267903776,False,Chile
2003,CHL,Chile,8.940655959297624,False,Chile
2004,CHL,Chile,8.885819126435202,False,Chile
2005,CHL,Chile,8.842032138090293,False,Chile
2006,CHL,Chile,8.559574956410026,False,Chile
2007,CHL,Chile,7.2759853467225835,False,Chile
2008,CHL,Chile,7.203795736191674,False,Chile
2009,CHL,Chile,7.813807566874229,False,Chile
2010,CHL,Chile,7.149477294604928,False,Chile
2011,CHL,Chile,6.879781497812974,False,Chile
2012,CHL,Chile,6.5236255781897965,False,Chile
2013,CHL,Chile,6.408001365092978,False,Chile
2014,CHL,Chile,6.965419963630745,False,Chile
2015,CHL,Chile,6.845945839928323,False,Chile
2016,CHL,Chile,6.209055360493329,False,Chile
2017,CHL,Chile,5.228361084291658,False,Chile
2018,CHL,Chile,4.521380746635222,False,Chile
2019,CHL,Chile,4.561382821545206,False,Chile
2020,CHL,Chile,5.40892034197407,False,Chile
2021,CHL,Chile,5.0065843304453255,False,Chile
2022,CHL,Chile,5.614850516627196,False,Chile
2023,CHL,Chile,5.4286267315542185,False,Chile
2000,COL,Colombia,133.39574238643868,True,Colombia
2001,COL,Colombia,137.11331039900546,True,Colombia
2002,COL,Colombia,140.48880733103138,True,Colombia
2003,COL,Colombia,102.31088244844345,True,Colombia
2004,COL,Colombia,91.50723280142479,True,Colombia
2005,COL,Colombia,78.38803465405715,True,Colombia
2006,COL,Colombia,73.33857335663028,True,Colombia
2007,COL,Colombia,69.39051005599244,True,Colombia
2008,COL,Colombia,69.63033262099657,True,Colombia
2009,COL,Colombia,73.89466155214706,True,Colombia
2010,COL,Colombia,71.43967373898727,True,Colombia
2011,COL,Colombia,65.30020279727876,True,Colombia
2012,COL,Colombia,60.6643690094285,True,Colombia
2013,COL,Colombia,56.00358460008633,True,Colombia
2014,COL,Colombia,50.36633942117656,True,Colombia
2015,COL,Colombia,47.83302836439262,True,Colombia
2016,COL,Colombia,46.154674053342646,True,Colombia
2017,COL,Colombia,45.88800530180938,True,Colombia
2018,COL,Colombia,47.05465370752537,True,Colombia
2019,COL,Colombia,46.79004960321822,True,Colombia
2020,COL,Colombia,46.080073755373945,True,Colombia
2021,COL,Colombia,52.01526817561188,True,Colombia
2022,COL,Colombia,52.51402097030964,True,Colombia
2023,COL,Colombia,51.45422751760118,True,Colombia
2000,CRI,Costa Rica,10.453740192632152,True,Costa Rica
2001,CRI,Costa Rica,10.678126132830378,True,Costa Rica
2002,CRI,Costa Rica,10.617893983586828,True,Costa Rica
2003,CRI,Costa Rica,11.070556181656634,True,Costa Rica
2004,CRI,Costa Rica,11.048462421385183,True,Costa Rica
2005,CRI,Costa Rica,11.375073248253438,True,Costa Rica
2006,CRI,Costa Rica,12.310183599349983,True,Costa Rica
2007,CRI,Costa Rica,12.109342065866379,True,Costa Rica
2008,CRI,Costa Rica,13.903930721652598,True,Costa Rica
2009,CRI,Costa Rica,15.040430869806784,True,Costa Rica
2010,CRI,Costa Rica,16.173698032132865,True,Costa Rica
2011,CRI,Costa Rica,15.126502866553782,True,Costa Rica
2012,CRI,Costa Rica,14.28457948488368,True,Costa Rica
2013,CRI,Costa Rica,14.999864296178508,True,Costa Rica
2014,CRI,Costa Rica,16.02380827412408,True,Costa Rica
2015,CRI,Costa Rica,17.50371661156768,True,Costa Rica
2016,CRI,Costa Rica,17.66002357262148,True,Costa Rica
2017,CRI,Costa Rica,17.70963585382453,True,Costa Rica
2018,CRI,Costa Rica,17.448666114644155,True,Costa Rica
2019,CRI,Costa Rica,17.52114725274389,True,Costa Rica
2020,CRI,Costa Rica,17.923329830900798,True,Costa Rica
2021,CRI,Costa Rica,19.258188260183637,True,Costa Rica
2022,CRI,Costa Rica,20.984099903442456,True,Costa Rica
2023,CRI,Costa Rica,20.10439066059683,True,Costa Rica
2000,CZE,Czechia,1.3813213873954555,False,Czechia
2001,CZE,Czechia,1.1418512388295874,False,Czechia
2002,CZE,Czechia,1.0797561430671512,False,Czechia
2003,CZE,Czechia,1.0675329391839647,False,Czechia
2004,CZE,Czechia,1.068215076231551,False,Czechia
2005,CZE,Czechia,0.8787859563827696,False,Czechia
2006,CZE,Czechia,0.859616892454903,False,Czechia
2007,CZE,Czechia,0.7910242726900332,False,Czechia
2008,CZE,Czechia,0.7711490059409338,False,Czechia
2009,CZE,Czechia,0.6901280577312023,False,Czechia
2010,CZE,Czechia,0.5799523925985552,False,Czechia
2011,CZE,Czechia,0.647847366408956,False,Czechia
2012,CZE,Czechia,0.6564560979443801,False,Czechia
2013,CZE,Czechia,0.5315608420028717,False,Czechia
2014,CZE,Czechia,0.6029030528707676,False,Czechia
2015,CZE,Czechia,0.546221057865466,False,Czechia
2016,CZE,Czechia,0.4427335384366299,False,Czechia
2017,CZE,Czechia,0.452385117680253,False,Czechia
2018,CZE,Czechia,0.514797508778622,False,Czechia
2019,CZE,Czechia,0.5600588136381349,False,Czechia
2020,CZE,Czechia,0.5585792992865117,False,Czechia
2021,CZE,Czechia,0.5494757768327828,False,Czechia
2022,CZE,Czechia,0.5502292625669225,False,Czechia
2023,CZE,Czechia,0.5389339211388747,False,Czechia
2000,DEU,Germany,0.4406555803343898,False,Germany
2001,DEU,Germany,0.4180457171996179,False,Germany
2002,DEU,Germany,0.4093327622652879,False,Germany
2003,DEU,Germany,0.388599887616796,False,Germany
2004,DEU,Germany,0.3494759170057403,False,Germany
2005,DEU,Germany,0.34017498294675486,False,Germany
2006,DEU,Germany,0.32387849409549574,False,Germany
2007,DEU,Germany,0.3145495544941743,False,Germany
2008,DEU,Germany,0.2873923576076022,False,Germany
2009,DEU,Germany,0.2648423413478448,False,Germany
2010,DEU,Germany,0.22594643944382364,False,Germany
2011,DEU,Germany,0.24869872372711188,False,Germany
2012,DEU,Germany,0.18911687355300955,False,Germany
