year,code,country,gap,highlighted,series
2000,AUS,Australia,5.325800000000001,False,Australia
2001,AUS,Australia,5.216400000000007,False,Australia
2002,AUS,Australia,4.9902000000000015,False,Australia
2003,AUS,Australia,4.964399999999998,False,Australia
2004,AUS,Australia,4.900900000000007,False,Australia
2005,AUS,Australia,4.802400000000006,False,Australia
2006,AUS,Australia,4.670100000000005,False,Australia
2007,AUS,Australia,4.6173,False,Australia
2008,AUS,Australia,4.552599999999998,False,Australia
2009,AUS,Australia,4.548900000000003,False,Australia
2010,AUS,Australia,4.388800000000003,False,Australia
2011,AUS,Australia,4.334400000000002,False,Australia
2012,AUS,Australia,4.0312000000000126,False,Australia
2013,AUS,Australia,4.156500000000008,False,Australia
2014,AUS,Australia,3.9728999999999957,False,Australia
2015,AUS,Australia,4.050599999999989,False,Australia
2016,AUS,Australia,4.09490000000001,False,Australia
2017,AUS,Australia,4.061999999999998,False,Australia
2018,AUS,Australia,4.0767999999999915,False,Australia
2019,AUS,Australia,4.0702,False,Australia
2020,AUS,Australia,4.0615999999999985,False,Australia
2021,AUS,Australia,3.825400000000002,False,Australia
2022,AUS,Australia,4.1327,False,Australia
2023,AUS,Australia,3.6392000000000024,False,Australia
2000,AUT,Austria,5.999899999999997,False,Austria
2001,AUT,Austria,5.9839000000000055,False,Austria
2002,AUT,Austria,5.884100000000004,False,Austria
2003,AUT,Austria,5.628200000000007,False,Austria
2004,AUT,Austria,5.704800000000006,False,Austria
2005,AUT,Austria,5.594700000000003,False,Austria
2006,AUT,Austria,5.557400000000001,False,Austria
2007,AUT,Austria,5.556300000000007,False,Austria
2008,AUT,Austria,5.367699999999999,False,Austria
2009,AUT,Austria,5.456599999999995,False,Austria
2010,AUT,Austria,5.466099999999997,False,Austria
2011,AUT,Austria,5.356700000000004,False,Austria
2012,AUT,Austria,5.025000000000006,False,Austria
2013,AUT,Austria,5.109099999999998,False,Austria
2014,AUT,Austria,4.8232,False,Austria
2015,AUT,Austria,4.950699999999998,False,Austria
2016,AUT,Austria,4.787700000000001,False,Austria
2017,AUT,Austria,4.614199999999997,False,Austria
2018,AUT,Austria,4.690600000000003,False,Austria
2019,AUT,Austria,4.662199999999999,False,Austria
2020,AUT,Austria,5.106700000000004,False,Austria
2021,AUT,Austria,5.2128999999999905,False,Austria
2022,AUT,Austria,5.0488,False,Austria
2023,AUT,Austria,4.775600000000011,False,Austria
2000,BEL,Belgium,6.329599999999999,False,Belgium
2001,BEL,Belgium,6.238199999999992,False,Belgium
2002,BEL,Belgium,6.097899999999996,False,Belgium
2003,BEL,Belgium,5.8386,False,Belgium
2004,BEL,Belgium,5.878700000000009,False,Belgium
2005,BEL,Belgium,5.709999999999994,False,Belgium
2006,BEL,Belgium,5.637500000000003,False,Belgium
2007,BEL,Belgium,5.459600000000009,False,Belgium
2008,BEL,Belgium,5.528999999999996,False,Belgium
2009,BEL,Belgium,5.267499999999998,False,Belgium
