year,series,series_type,value
2000,Cancer,contribution,0.1806056612841104
2000,Homicide,contribution,0.2064133070110035
2000,Suicide,contribution,0.38963047010636864
2000,Road Traffic,contribution,0.7561122023609517
2000,Liver Disease,contribution,0.19898855431725018
2000,Injury,contribution,0.051691164355339436
2000,COVID-19,contribution,0.0
2000,Childhood (under-five),contribution,0.1164559897093724
2000,Alcohol,contribution,0.06974125702611049
2000,Drug Disorders,contribution,0.14628018672601603
2000,Predicted Total,total,5.158583384962622
2000,Actual Total,total,5.30810000000001
2001,Cancer,contribution,0.17483144281722657
2001,Homicide,contribution,0.21301808105327133
2001,Suicide,contribution,0.3945859137048264
2001,Road Traffic,contribution,0.7806913418935119
2001,Liver Disease,contribution,0.20059883540878093
2001,Injury,contribution,0.049807848538785934
2001,COVID-19,contribution,0.0
2001,Childhood (under-five),contribution,0.11679046892821011
2001,Alcohol,contribution,0.07014986136697896
2001,Drug Disorders,contribution,0.1566045291135067
2001,Predicted Total,total,5.152578237670928
2001,Actual Total,total,5.25139999999999
2002,Cancer,contribution,0.17608490950531752
2002,Homicide,contribution,0.21842892322857574
2002,Suicide,contribution,0.39690073833306894
2002,Road Traffic,contribution,0.7967232959394527
2002,Liver Disease,contribution,0.20761599140454756
2002,Injury,contribution,0.049101159443797365
2002,COVID-19,contribution,0.0
2002,Childhood (under-five),contribution,0.1203450867485204
2002,Alcohol,contribution,0.07209533589149936
2002,Drug Disorders,contribution,0.16952657697392357
2002,Predicted Total,total,5.165488792952548
2002,Actual Total,total,5.234499999999997
2003,Cancer,contribution,0.17164018533258268
2003,Homicide,contribution,0.21883099441838944
2003,Suicide,contribution,0.3880307042221292
2003,Road Traffic,contribution,0.7882149814980021
2003,Liver Disease,contribution,0.21229021661154462
2003,Injury,contribution,0.04852157925469982
2003,COVID-19,contribution,0.0
2003,Childhood (under-five),contribution,0.12356659655187054
2003,Alcohol,contribution,0.07032702324699508
2003,Drug Disorders,contribution,0.1806336844817038
2003,Predicted Total,total,5.11672058784046
2003,Actual Total,total,5.174900000000008
2004,Cancer,contribution,0.17242050209579185
2004,Homicide,contribution,0.2184987433035247
2004,Suicide,contribution,0.3711494924549521
2004,Road Traffic,contribution,0.774972584941
2004,Liver Disease,contribution,0.20729081778620803
2004,Injury,contribution,0.049252471502926526
2004,COVID-19,contribution,0.0
2004,Childhood (under-five),contribution,0.11898488203525533
2004,Alcohol,contribution,0.06978469114732494
2004,Drug Disorders,contribution,0.1861206070913516
2004,Predicted Total,total,5.041400401219093
2004,Actual Total,total,5.0966999999999985
2005,Cancer,contribution,0.17216515801656965
2005,Homicide,contribution,0.23014237671407306
2005,Suicide,contribution,0.3780725453323898
2005,Road Traffic,contribution,0.810402364373317
2005,Liver Disease,contribution,0.21406016692896218
2005,Injury,contribution,0.046961205442584614
2005,COVID-19,contribution,0.0
2005,Childhood (under-five),contribution,0.11605615158978295
2005,Alcohol,contribution,0.07083837580362351
2005,Drug Disorders,contribution,0.19907439764245702
2005,Predicted Total,total,5.074255219390158
2005,Actual Total,total,5.117200000000011
2006,Cancer,contribution,0.172968686343684
2006,Homicide,contribution,0.2379703633369282
2006,Suicide,contribution,0.3824450698102759
2006,Road Traffic,contribution,0.812749967842296
2006,Liver Disease,contribution,0.21314536787224922
2006,Injury,contribution,0.04948886996251824
2006,COVID-19,contribution,0.0
2006,Childhood (under-five),contribution,0.11132749410047955
2006,Alcohol,contribution,0.07094088792776276
2006,Drug Disorders,contribution,0.21008740013085297
2006,Predicted Total,total,5.056902468768423
2006,Actual Total,total,5.090899999999991
2007,Cancer,contribution,0.18271255916782486
2007,Homicide,contribution,0.2310065611217299
2007,Suicide,contribution,0.38934123318717545
2007,Road Traffic,contribution,0.7888261584594065
2007,Liver Disease,contribution,0.2197536536568662
2007,Injury,contribution,0.046635164673525124
2007,COVID-19,contribution,0.0
2007,Childhood (under-five),contribution,0.10837552997735733
2007,Alcohol,contribution,0.06869332672203003
2007,Drug Disorders,contribution,0.2109747215983981
2007,Predicted Total,total,5.026791957657335
2007,Actual Total,total,5.047800000000009
2008,Cancer,contribution,0.1871359683304648
2008,Homicide,contribution,0.22033275456239562
2008,Suicide,contribution,0.40455867747925156
2008,Road Traffic,contribution,0.7285985755953357
2008,Liver Disease,contribution,0.22363848803496808
2008,Injury,contribution,0.04388469865917149
2008,COVID-19,contribution,0.0
2008,Childhood (under-five),contribution,0.10622955120213023
2008,Alcohol,contribution,0.07053641161076792
2008,Drug Disorders,contribution,0.21187039700324442
2008,Predicted Total,total,4.949552051197812
2008,Actual Total,total,4.942400000000006
2009,Cancer,contribution,0.19880877703115557
2009,Homicide,contribution,0.20385311714879786
2009,Suicide,contribution,0.4132035071030998
2009,Road Traffic,contribution,0.6440774979654377
2009,Liver Disease,contribution,0.22466614369082014
2009,Injury,contribution,0.04417674145205768
2009,COVID-19,contribution,0.0
2009,Childhood (under-five),contribution,0.10094557171305336
2009,Alcohol,contribution,0.06990217250716906
2009,Drug Disorders,contribution,0.21124834232763448
2009,Predicted Total,total,4.80889499517088
2009,Actual Total,total,4.890100000000004
2010,Cancer,contribution,0.19414912964444386
2010,Homicide,contribution,0.19359920670968347
2010,Suicide,contribution,0.4219937634520297
2010,Road Traffic,contribution,0.5968132099349819
2010,Liver Disease,contribution,0.22951130071559486
2010,Injury,contribution,0.04334244807597406
2010,COVID-19,contribution,0.0
2010,Childhood (under-five),contribution,0.09274911282207757
2010,Alcohol,contribution,0.07277521050242428
2010,Drug Disorders,contribution,0.21189547567784286
2010,Predicted Total,total,4.737261947579924
