code,country,val_2000,val_2023,change,is_largest_decrease,is_largest_increase,substantial
LVA,Latvia,2.15,0.707,-1.443,,False,True
LTU,Lithuania,1.72,0.481,-1.239,,False,True
PRT,Portugal,1.64,0.463,-1.1769999999999998,,False,True
EST,Estonia,1.32,0.229,-1.091,,False,True
POL,Poland,1.45,0.416,-1.034,,False,True
ESP,Spain,1.15,0.21,-0.94,,False,True
SVN,Slovenia,1.12,0.293,-0.8270000000000002,,False,True
SVK,Slovakia,1.11,0.317,-0.7930000000000001,,False,True
GRC,Greece,1.4,0.611,-0.7889999999999999,,False,True
BEL,Belgium,0.986,0.241,-0.745,,False,True
ITA,Italy,1.02,0.343,-0.677,,False,True
LUX,Luxembourg,0.806,0.131,-0.675,,False,True
FRA,France,0.879,0.224,-0.655,,False,True
CZE,Czechia,0.923,0.304,-0.619,,False,True
IRL,Ireland,0.627,0.0285,-0.5985,,False,True
HUN,Hungary,0.981,0.414,-0.567,,False,True
AUT,Austria,0.667,0.206,-0.4610000000000001,,False,True
DNK,Denmark,0.44,0.0257,-0.4143,,False,True
DEU,Germany,0.524,0.173,-0.351,,False,True
CHE,Switzerland,0.385,0.0447,-0.3403,,False,True
NOR,Norway,0.364,0.0247,-0.3393,,False,True
GBR,United Kingdom,0.339,0.0648,-0.2742,,False,True
NLD,Netherlands,0.401,0.16,-0.241,,False,True
SWE,Sweden,0.285,0.0459,-0.2390999999999999,,False,True
FIN,Finland,0.311,0.124,-0.187,,False,False
ISL,Iceland,0.226,0.0432,-0.1828,,False,False
