year,code,country,gap,highlighted,series
2000,AUS,Australia,9.100230520207687,False,Australia
2001,AUS,Australia,8.891708782044635,False,Australia
2002,AUS,Australia,8.444395887689462,False,Australia
2003,AUS,Australia,8.019509916654128,False,Australia
2004,AUS,Australia,8.033341794110559,False,Australia
2005,AUS,Australia,7.956978289301364,False,Australia
2006,AUS,Australia,8.167210290491354,False,Australia
2007,AUS,Australia,7.790810558789181,False,Australia
2008,AUS,Australia,7.35676366256233,False,Australia
2009,AUS,Australia,7.10514159755157,False,Australia
2010,AUS,Australia,6.760734027413912,False,Australia
2011,AUS,Australia,6.274115734264582,False,Australia
2012,AUS,Australia,5.897258063515402,False,Australia
2013,AUS,Australia,5.513884823284823,False,Australia
2014,AUS,Australia,5.363397050849057,False,Australia
2015,AUS,Australia,5.415040886574261,False,Australia
2016,AUS,Australia,5.545449015977154,False,Australia
2017,AUS,Australia,5.345824915503916,False,Australia
2018,AUS,Australia,5.350541389815584,False,Australia
2019,AUS,Australia,5.496363920686285,False,Australia
2020,AUS,Australia,5.212252029701254,False,Australia
2021,AUS,Australia,5.228234539573471,False,Australia
2022,AUS,Australia,5.42547696317069,False,Australia
2023,AUS,Australia,5.242422452314649,False,Australia
2000,AUT,Austria,11.057225685270382,False,Austria
2001,AUT,Austria,10.730978466571374,False,Austria
2002,AUT,Austria,10.406923148973608,False,Austria
2003,AUT,Austria,10.339254754391348,False,Austria
2004,AUT,Austria,10.006323989869006,False,Austria
2005,AUT,Austria,9.42131479104215,False,Austria
2006,AUT,Austria,8.65991748586849,False,Austria
2007,AUT,Austria,8.21950446533167,False,Austria
2008,AUT,Austria,8.058488964777492,False,Austria
2009,AUT,Austria,7.63068960889489,False,Austria
2010,AUT,Austria,6.831659575203205,False,Austria
2011,AUT,Austria,6.438405780054836,False,Austria
2012,AUT,Austria,6.268177635890646,False,Austria
2013,AUT,Austria,5.879664256484332,False,Austria
2014,AUT,Austria,5.328914048295152,False,Austria
2015,AUT,Austria,5.1568116347451305,False,Austria
2016,AUT,Austria,4.937184407797622,False,Austria
2017,AUT,Austria,4.984012894275978,False,Austria
2018,AUT,Austria,4.902878216912738,False,Austria
2019,AUT,Austria,4.913069944509446,False,Austria
2020,AUT,Austria,4.818852241182197,False,Austria
2021,AUT,Austria,4.976024013002856,False,Austria
2022,AUT,Austria,4.992816811526099,False,Austria
2023,AUT,Austria,4.733683193825677,False,Austria
2000,BEL,Belgium,15.417028391175135,False,Belgium
2001,BEL,Belgium,15.037024003551501,False,Belgium
2002,BEL,Belgium,13.513883544928678,False,Belgium
2003,BEL,Belgium,12.554036300945452,False,Belgium
2004,BEL,Belgium,12.138582696266546,False,Belgium
2005,BEL,Belgium,11.366235625891438,False,Belgium
2006,BEL,Belgium,11.194333868432231,False,Belgium
2007,BEL,Belgium,11.455550526108201,False,Belgium
2008,BEL,Belgium,10.483759953636088,False,Belgium
2009,BEL,Belgium,10.04421456729581,False,Belgium
2010,BEL,Belgium,9.38802770096352,False,Belgium
2011,BEL,Belgium,8.613919674693804,False,Belgium
2012,BEL,Belgium,8.058020555870264,False,Belgium
2013,BEL,Belgium,7.56297917875315,False,Belgium
2014,BEL,Belgium,7.097537587990993,False,Belgium
2015,BEL,Belgium,6.581785763108432,False,Belgium
2016,BEL,Belgium,6.325608058014487,False,Belgium
2017,BEL,Belgium,5.826271342863274,False,Belgium
2018,BEL,Belgium,5.5154314501154404,False,Belgium
2019,BEL,Belgium,5.7124505297585495,False,Belgium
2020,BEL,Belgium,5.369815585705915,False,Belgium
2021,BEL,Belgium,5.64751934433796,False,Belgium
2022,BEL,Belgium,5.480650411376503,False,Belgium
2023,BEL,Belgium,5.212581474206614,False,Belgium
2000,CAN,Canada,7.740797118830806,True,Canada
2001,CAN,Canada,7.460517954610319,True,Canada
2002,CAN,Canada,7.419769898419572,True,Canada
2003,CAN,Canada,7.331724729202644,True,Canada
2004,CAN,Canada,7.55998752347451,True,Canada
2005,CAN,Canada,7.56098895290596,True,Canada
2006,CAN,Canada,7.348310565029309,True,Canada
2007,CAN,Canada,7.366990626266583,True,Canada
2008,CAN,Canada,6.866794783309155,True,Canada
2009,CAN,Canada,6.27140900789273,True,Canada
2010,CAN,Canada,5.928571922680721,True,Canada
2011,CAN,Canada,5.618910430212339,True,Canada
2012,CAN,Canada,5.3284310826851815,True,Canada
2013,CAN,Canada,4.998944893303324,True,Canada
2014,CAN,Canada,5.05545138030706,True,Canada
2015,CAN,Canada,4.9840559752007,True,Canada
2016,CAN,Canada,4.687743903911736,True,Canada
2017,CAN,Canada,4.41442913229047,True,Canada
2018,CAN,Canada,4.244111331938395,True,Canada
2019,CAN,Canada,4.1066135898251455,True,Canada
2020,CAN,Canada,4.651178839116487,True,Canada
2021,CAN,Canada,4.864429767491978,True,Canada
2022,CAN,Canada,4.907860164571277,True,Canada
2023,CAN,Canada,4.8252299695736305,True,Canada
2000,CHE,Switzerland,7.191645618807732,False,Switzerland
2001,CHE,Switzerland,6.914701853842271,False,Switzerland
2002,CHE,Switzerland,6.6320602262298225,False,Switzerland
2003,CHE,Switzerland,6.487367318982412,False,Switzerland
2004,CHE,Switzerland,6.354667367262204,False,Switzerland
2005,CHE,Switzerland,5.4714805882000705,False,Switzerland
2006,CHE,Switzerland,5.1624818152551315,False,Switzerland
2007,CHE,Switzerland,5.013350915232866,False,Switzerland
2008,CHE,Switzerland,4.89012177182901,False,Switzerland
2009,CHE,Switzerland,4.62504376509713,False,Switzerland
2010,CHE,Switzerland,4.348690623887705,False,Switzerland
2011,CHE,Switzerland,3.798388206613215,False,Switzerland
2012,CHE,Switzerland,3.5613101738917567,False,Switzerland
2013,CHE,Switzerland,3.18031638592369,False,Switzerland
2014,CHE,Switzerland,3.1263849143646003,False,Switzerland
2015,CHE,Switzerland,3.0489723818238237,False,Switzerland
2016,CHE,Switzerland,2.905236451780529,False,Switzerland
2017,CHE,Switzerland,2.9647681027892627,False,Switzerland
2018,CHE,Switzerland,2.9513071954008936,False,Switzerland
2019,CHE,Switzerland,2.9063086376844414,False,Switzerland
2020,CHE,Switzerland,2.8563766004277307,False,Switzerland
2021,CHE,Switzerland,2.744781550329045,False,Switzerland
2022,CHE,Switzerland,2.795135511499672,False,Switzerland
2023,CHE,Switzerland,2.5283036279511837,False,Switzerland
