year,code,country,gap,highlighted,series
2000,AUS,Australia,16.004762950084725,False,Australia
2001,AUS,Australia,15.135180790075186,False,Australia
2002,AUS,Australia,14.072718104814868,False,Australia
2003,AUS,Australia,13.44912278606715,False,Australia
2004,AUS,Australia,13.22488727999848,False,Australia
2005,AUS,Australia,12.796662095793948,False,Australia
2006,AUS,Australia,12.453122708241324,False,Australia
2007,AUS,Australia,12.746872367663546,False,Australia
2008,AUS,Australia,13.418398919804464,False,Australia
2009,AUS,Australia,12.96734082287595,False,Australia
2010,AUS,Australia,13.040615744363375,False,Australia
2011,AUS,Australia,12.431541745679638,False,Australia
2012,AUS,Australia,12.30688626404211,False,Australia
2013,AUS,Australia,12.42564708777749,False,Australia
2014,AUS,Australia,13.351990417410844,False,Australia
2015,AUS,Australia,13.736489656526516,False,Australia
2016,AUS,Australia,13.351485412287865,False,Australia
2017,AUS,Australia,13.726305241623447,False,Australia
2018,AUS,Australia,13.962129554059628,False,Australia
2019,AUS,Australia,14.039250610910237,False,Australia
2020,AUS,Australia,13.664241171220583,False,Australia
2021,AUS,Australia,13.147071042451017,False,Australia
2022,AUS,Australia,13.452864381768231,False,Australia
2023,AUS,Australia,12.845005106993813,False,Australia
2000,AUT,Austria,19.50534773340703,False,Austria
2001,AUT,Austria,19.14786483662786,False,Austria
2002,AUT,Austria,20.29172637000018,False,Austria
2003,AUT,Austria,19.073968875121107,False,Austria
2004,AUT,Austria,18.892534521668477,False,Austria
2005,AUT,Austria,18.68394447466663,False,Austria
2006,AUT,Austria,18.375940527095793,False,Austria
2007,AUT,Austria,17.570830636365105,False,Austria
2008,AUT,Austria,17.837710596923465,False,Austria
2009,AUT,Austria,18.29610995253789,False,Austria
2010,AUT,Austria,18.59081377984162,False,Austria
2011,AUT,Austria,18.67709705896017,False,Austria
2012,AUT,Austria,18.92023904228856,False,Austria
2013,AUT,Austria,18.453351751502733,False,Austria
2014,AUT,Austria,18.279602911942682,False,Austria
2015,AUT,Austria,18.253692833306324,False,Austria
2016,AUT,Austria,17.853199810112063,False,Austria
2017,AUT,Austria,18.614888290010388,False,Austria
2018,AUT,Austria,18.19890299850946,False,Austria
2019,AUT,Austria,17.592919007834396,False,Austria
2020,AUT,Austria,17.468498046949406,False,Austria
2021,AUT,Austria,18.632671214270555,False,Austria
2022,AUT,Austria,18.651594168626673,False,Austria
2023,AUT,Austria,18.46176260629165,False,Austria
2000,BEL,Belgium,20.45524818283424,False,Belgium
2001,BEL,Belgium,21.063117716357404,False,Belgium
2002,BEL,Belgium,20.485275048300856,False,Belgium
2003,BEL,Belgium,20.53310749897485,False,Belgium
2004,BEL,Belgium,19.674720087457978,False,Belgium
2005,BEL,Belgium,19.50651172117268,False,Belgium
2006,BEL,Belgium,18.397677830374292,False,Belgium
2007,BEL,Belgium,17.87757956268615,False,Belgium
2008,BEL,Belgium,18.71139565693185,False,Belgium
2009,BEL,Belgium,18.795236783975696,False,Belgium
2010,BEL,Belgium,19.033169198924554,False,Belgium
2011,BEL,Belgium,19.174959816231016,False,Belgium
2012,BEL,Belgium,19.507757892679603,False,Belgium
2013,BEL,Belgium,18.363281582833995,False,Belgium
2014,BEL,Belgium,17.44275800128844,False,Belgium
2015,BEL,Belgium,17.037822112996746,False,Belgium
2016,BEL,Belgium,17.35688619664312,False,Belgium
2017,BEL,Belgium,16.890327594339524,False,Belgium
2018,BEL,Belgium,17.119659709147673,False,Belgium
2019,BEL,Belgium,17.352005283888165,False,Belgium
2020,BEL,Belgium,17.21359579922595,False,Belgium
2021,BEL,Belgium,18.039845157695673,False,Belgium
2022,BEL,Belgium,17.85181137896913,False,Belgium
2023,BEL,Belgium,17.280426715220276,False,Belgium
2000,CAN,Canada,15.678767292994872,True,Canada
2001,CAN,Canada,15.33209422634765,True,Canada
2002,CAN,Canada,15.135301289989439,True,Canada
2003,CAN,Canada,14.89140585348761,True,Canada
2004,CAN,Canada,14.158034538918557,True,Canada
2005,CAN,Canada,14.215277318536707,True,Canada
2006,CAN,Canada,13.688171665830492,True,Canada
2007,CAN,Canada,13.347845883416788,True,Canada
2008,CAN,Canada,13.320920455185028,True,Canada
2009,CAN,Canada,13.606280581103535,True,Canada
2010,CAN,Canada,13.277555507030767,True,Canada
2011,CAN,Canada,12.758197226777165,True,Canada
2012,CAN,Canada,13.055418515102694,True,Canada
2013,CAN,Canada,13.261423883965278,True,Canada
2014,CAN,Canada,13.423960314840333,True,Canada
2015,CAN,Canada,13.696448369251845,True,Canada
2016,CAN,Canada,13.283869203945084,True,Canada
2017,CAN,Canada,13.41588382003077,True,Canada
2018,CAN,Canada,13.446346165843037,True,Canada
2019,CAN,Canada,13.763741347867283,True,Canada
2020,CAN,Canada,14.063410385510672,True,Canada
2021,CAN,Canada,13.677927222857303,True,Canada
2022,CAN,Canada,13.153961708019782,True,Canada
2023,CAN,Canada,12.876778635376278,True,Canada
2000,CHE,Switzerland,17.72595966725931,False,Switzerland
2001,CHE,Switzerland,17.19130649547965,False,Switzerland
2002,CHE,Switzerland,16.315509144629363,False,Switzerland
2003,CHE,Switzerland,14.6782800069114,False,Switzerland
2004,CHE,Switzerland,14.1212076122572,False,Switzerland
2005,CHE,Switzerland,14.4170557547675,False,Switzerland
2006,CHE,Switzerland,13.901537500223858,False,Switzerland
2007,CHE,Switzerland,14.228878085598353,False,Switzerland
2008,CHE,Switzerland,13.764545927899709,False,Switzerland
2009,CHE,Switzerland,14.35351821658753,False,Switzerland
2010,CHE,Switzerland,13.44709037846662,False,Switzerland
2011,CHE,Switzerland,13.257513370625988,False,Switzerland
2012,CHE,Switzerland,13.133321497011721,False,Switzerland
2013,CHE,Switzerland,13.336452094201311,False,Switzerland
2014,CHE,Switzerland,13.2943021209364,False,Switzerland
2015,CHE,Switzerland,13.488905689361449,False,Switzerland
2016,CHE,Switzerland,13.466382320869647,False,Switzerland
2017,CHE,Switzerland,13.044133384786406,False,Switzerland
2018,CHE,Switzerland,12.307004685495441,False,Switzerland
2019,CHE,Switzerland,12.8028896274535,False,Switzerland
2020,CHE,Switzerland,12.052836564007826,False,Switzerland
2021,CHE,Switzerland,12.501593444958676,False,Switzerland
2022,CHE,Switzerland,12.202844372350025,False,Switzerland
2023,CHE,Switzerland,11.309911802380391,False,Switzerland
2000,CHL,Chile,17.4980782178839,False,Chile
2001,CHL,Chile,16.324965167152712,False,Chile
2002,CHL,Chile,15.266650750404814,False,Chile
2003,CHL,Chile,15.079032290906776,False,Chile
2004,CHL,Chile,15.329210433396442,False,Chile
2005,CHL,Chile,14.950175019657008,False,Chile
2006,CHL,Chile,15.140418225087377,False,Chile
2007,CHL,Chile,15.235231898285246,False,Chile
2008,CHL,Chile,15.878733107183077,False,Chile
2009,CHL,Chile,15.930341492663334,False,Chile
2010,CHL,Chile,15.60906777309387,False,Chile
2011,CHL,Chile,15.291574337482228,False,Chile
2012,CHL,Chile,14.448313969659257,False,Chile
2013,CHL,Chile,13.765064628359795,False,Chile
2014,CHL,Chile,13.781381862959652,False,Chile
2015,CHL,Chile,13.774514450674832,False,Chile
2016,CHL,Chile,14.480512171711997,False,Chile
2017,CHL,Chile,14.753345691531372,False,Chile
2018,CHL,Chile,14.232684441548532,False,Chile
2019,CHL,Chile,13.818033508366888,False,Chile
2020,CHL,Chile,12.353422413443267,False,Chile
2021,CHL,Chile,11.606182732834252,False,Chile
2022,CHL,Chile,13.922520587283802,False,Chile
2023,CHL,Chile,13.67637150467873,False,Chile
2000,COL,Colombia,6.408519093382452,False,Colombia
2001,COL,Colombia,6.271089670178927,False,Colombia
2002,COL,Colombia,6.036340659647796,False,Colombia
2003,COL,Colombia,6.32539420711047,False,Colombia
2004,COL,Colombia,6.723350499321917,False,Colombia
2005,COL,Colombia,6.744637433637143,False,Colombia
2006,COL,Colombia,6.807229675492479,False,Colombia
2007,COL,Colombia,6.8241834158195545,False,Colombia
2008,COL,Colombia,7.095562092601998,False,Colombia
2009,COL,Colombia,7.199994920044437,False,Colombia
2010,COL,Colombia,7.108452904550147,False,Colombia
2011,COL,Colombia,6.913752289475836,False,Colombia
2012,COL,Colombia,6.847933926371498,False,Colombia
2013,COL,Colombia,6.706886227456852,False,Colombia
2014,COL,Colombia,6.871047530235252,False,Colombia
2015,COL,Colombia,6.978873680084668,False,Colombia
2016,COL,Colombia,7.582572287399146,False,Colombia
2017,COL,Colombia,8.156842578301593,False,Colombia
2018,COL,Colombia,8.47898833285114,False,Colombia
2019,COL,Colombia,8.143165036968714,False,Colombia
2020,COL,Colombia,7.801476275592508,False,Colombia
2021,COL,Colombia,8.51392091210516,False,Colombia
2022,COL,Colombia,8.449940588232668,False,Colombia
2023,COL,Colombia,8.420436880586887,False,Colombia
